CERUMEN - REMOÇÃO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
CRIOTERAPIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
CURATIVOS EM GERAL COM OU SEM ANESTESIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
DILATAÇÃO URETRAL,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
DESSENSIBILIZAÇÃO DENTÁRIA,,,Seg. Odontológica,Seg. Ambulatorial,,,,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
ESTIMULAÇÃO ELÉTRICA TRANSCUTÂNEA (COM DIRETRIZ DE UTILIZAÇÃO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,24,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
FOTOTERAPIA COM UVA (PUVA) PARA TRATAMENTO DE PSORÍASE OU VITILIGO,,,Seg. Odontológica,Seg. Ambulatorial,,,REF,PAC,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
INSTILAÇÃO VESICAL OU URETRAL,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
LESÕES MÚSCULO TENDINOSAS - TRATAMENTO INCRUENTO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
PLANEJAMENTO TÉCNICO DA IMUNOTERAPIA ALÉRGENO INESPECÍFICA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
PLANEJAMENTO TÉCNICO DA IMUNOTERAPIA ALÉRGENO-ESPECÍFICA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
PRIAPISMO - TRATAMENTO NÃO CIRÚRGICO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
PULSOTERAPIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
OXIGENOTERAPIA HIPERBÁRICA (COM DIRETRIZ DE UTILIZAÇÃO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,58,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
REDUÇÃO DE LUXAÇÃO DA ATM (COM DIRETRIZ DE UTILIZAÇÃO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,96,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
REMINERALIZAÇÃO DENTÁRIA,,,Seg. Odontológica,Seg. Ambulatorial,,,,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
SESSÃO DE ACUPUNTURA,,,Seg. Odontológica,Seg. Ambulatorial,,,REF,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
"TERAPIA AVANÇADA PARA O TRATAMENTO DA ATROFIA MUSCULAR ESPINHAL (COM DIRETRIZ DE
UTILIZAÇÃO)",571/2023,10/02/2023,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,159,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
"TERAPIA COM ALFACERLIPONASE PARA LIPOFUSCINOSE CEROIDE NEURONAL TIPO 2 (CLN2) (COM
DIRETRIZ DE UTILIZAÇÃO)",538/2022,22/10/2022,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,153,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
"TERAPIA IMUNOBIOLÓGICA ENDOVENOSA, INTRAMUSCULAR OU SUBCUTÂNEA (COM DIRETRIZ DE
UTILIZAÇÃO)",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,65,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
"TERAPIA IMUNOPROFILÁTICA COM PALIVIZUMABE PARA O VÍRUS SINCICIAL RESPIRATÓRIO - VSR (COM
DIRETRIZ DE UTILIZAÇÃO)",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,124,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
TERAPIA INALATÓRIA (NEBULIZAÇÃO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
TERAPIA INTRAVENOSA COM ÁCIDO ZOLEDRÔNICO PARA DOENÇA DE PAGET,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
TERAPIA MEDICAMENTOSA INJETÁVEL AMBULATORIAL (COM DIRETRIZ DE UTILIZAÇÃO),546/2022,03/10/2022,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,158,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
TERAPIA ONCOLÓGICA - PLANEJAMENTO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
TERAPIA ONCOLÓGICA COM APLICAÇÃO DE MEDICAMENTOS POR VIA INTRACAVITÁRIA OU INTRATECAL,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
TERAPIA ONCOLÓGICA COM APLICAÇÃO INTRA-ARTERIAL OU INTRAVENOSA DE MEDICAMENTOS,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
TERAPIA ONCOLÓGICA MEDICAMENTOSA PEROPERATÓRIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
TERAPIA POR PRESSÃO NEGATIVA (COM DIRETRIZ DE UTILIZAÇÃO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,148,TERAPÊUTICA,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
APÊNDICE PRÉ-AURICULAR - RESSECÇÃO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
APLICAÇÃO DE CONTRACEPTIVO HORMONAL INJETÁVEL (COM DIRETRIZ DE UTILIZAÇÃO),538/2022,22/10/2022,Seg. Odontológica,Seg. Ambulatorial,,,REF,,154,PROCEDIMENTOS,"PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS
AMBULATORIAIS E HOSPITALARES"
AUTONOMIZAÇÃO DE RETALHO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
BIÓPSIA DE FACE,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
"BIÓPSIA DE PELE, TUMORES SUPERFICIAIS, TECIDO CELULAR SUBCUTÂNEO, LINFONODO SUPERFICIAL,
UNHA, ETC",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
CALOSIDADE E/OU MAL PERFURANTE - DESBASTAMENTO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
CANTOPLASTIA UNGUEAL,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
CAUTERIZAÇÃO QUÍMICA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
CIRURGIA DA HIDROSADENITE,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
CORREÇÃO CIRÚRGICA DE SEQUELAS DE ALOPECIA TRAUMÁTICA COM MICROENXERTOS PILOSOS,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
"CORREÇÃO DE DEFORMIDADES POR EXÉRESE DE TUMORES OU SEQÜELAS DE TRAUMATISMOS COM O
EMPREGO DE EXPANSORES EM RETALHOS CUTÂNEOS, MUSCULARES E/OU MIOCUTÂNEOS",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
CRIOCIRURGIA (NITROGÊNIO LÍQUIDO) DE NEOPLASIAS CUTÂNEAS,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
CURATIVO DE QUEIMADURAS,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
CURATIVO ESPECIAL SOB ANESTESIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
"CURETAGEM, ELETROCOAGULAÇÃO E/OU DERMOABRASÃO DE LESÕES DE PELE E MUCOSAS",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
ABDOMINOPLASTIA (COM DIRETRIZ DE UTILIZAÇÃO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,18,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
DESBRIDAMENTO CIRÚRGICO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
DESBRIDAMENTO DE FERIMENTOS INFECTADOS E MORDIDAS DE ANIMAIS,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
"ENXERTO DE CARTILAGEM, MUCOSA E/OU COMPOSTO",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
ENXERTO DE PELE MÚLTIPLO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
ENXERTO OU HOMOENXERTO DE PELE,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
ESCALPO - TRATAMENTO CIRÚRGICO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
ESCAROTOMIA DESCOMPRESSIVA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
EXÉRESE DE HIGROMA CÍSTICO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
EXÉRESE DE LESÃO COM AUTO-ENXERTIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
EXÉRESE DE LESÃO DE PELE E MUCOSAS,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
EXÉRESE DE TUMOR DE PARTES MOLES,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
EXÉRESE DE UNHA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
EXÉRESE E SUTURA DE LESÕES COM OU SEM ROTAÇÃO DE RETALHOS,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
EXPANSÃO TISSULAR,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
"EXTENSOS FERIMENTOS, CICATRIZES OU TUMORES - EXCISÃO E RETALHOS CUTÂNEOS",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
"EXTENSOS FERIMENTOS, CICATRIZES OU TUMORES - EXÉRESE E EMPREGO DE RETALHOS CUTÂNEOS
OU MUSCULARES CRUZADOS",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
"EXTENSOS FERIMENTOS, CICATRIZES OU TUMORES - EXÉRESE E RETALHOS CUTÂNEOS",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
"EXTENSOS FERIMENTOS, CICATRIZES OU TUMORES - EXÉRESE E ROTAÇÃO DE RETALHO
FASCIOCUTÂNEO OU AXIAL",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
"EXTENSOS FERIMENTOS, CICATRIZES OU TUMORES - EXÉRESE E ROTAÇÃO DE RETALHOS MIOCUTÂNEOS",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
"EXTENSOS FERIMENTOS, CICATRIZES OU TUMORES - EXÉRESE E ROTAÇÃO DE RETALHOS MUSCULARES",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
"EXTENSOS FERIMENTOS, CICATRIZES, OU TUMORES - EXÉRESE E ENXERTO CUTÂNEO",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
"INCISÃO E DRENAGEM DE ABSCESSO, HEMATOMA, FLEGMÃO E/OU PANARÍCIO",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
"INFILTRAÇÃO INTRALESIONAL, CICATRICIAL E HEMANGIOMAS",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
MATRICECTOMIA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
LASERTERAPIA PARA O TRATAMENTO DA MUCOSITE ORAL/OROFARINGE (COM DIRETRIZ DE UTILIZAÇÃO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,51,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
PLÁSTICA EM Z OU W,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
RECONSTRUÇÃO COM RETALHOS DE GÁLEA APONEURÓTICA,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
"RETALHO CUTÂNEO, MUSCULAR OU COMPOSTO (INCLUINDO CARTILAGEM OU OSSO)",,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
RETIRADA DE CORPO ESTRANHO SUBCUTÂNEO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
RETRAÇÃO CICATRICIAL DE ZONA DE FLEXÃO E EXTENSÃO DE MEMBROS SUPERIORES E INFERIORES,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
RETRAÇÃO DE APONEUROSE PALMAR (DUPUYTREN),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
SUTURA DE FERIMENTOS COM OU SEM DESBRIDAMENTO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
TERAPIA POR PRESSÃO NEGATIVA (COM DIRETRIZ DE UTILIZAÇÃO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,148,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
TRANSECÇÃO DE RETALHO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
TRANSFERÊNCIA INTERMEDIÁRIA DE RETALHO,,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
TRATAMENTO CIRÚRGICO DA UNHA (ENXERTO),,,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO,
MUCOSAS E ANEXOS","PROCEDIMENTOS CIRÚRGICOS E
INVASIVOS"
